nohup: ignoring input
 UPDATE  The latest version of `serve` is 14.2.5
 HTTP  11/30/2025 9:17:57 PM 192.168.1.18 Returned 200 in 1 ms
 HTTP  11/30/2025 9:17:59 PM 192.168.1.18 GET /auth/callback?code=AeoNDLWQkcJbYBZK75QSltdF5xp8W1ODViaaWKbAIo8&state=dmk7wg
 HTTP  11/30/2025 9:17:59 PM 192.168.1.18 Returned 200 in 1 ms
 HTTP  11/30/2025 9:19:32 PM 192.168.1.18 GET /
 HTTP  11/30/2025 9:19:32 PM 192.168.1.18 Returned 200 in 1 ms
 HTTP  11/30/2025 9:20:40 PM 192.168.1.18 GET /
 HTTP  11/30/2025 9:20:40 PM 192.168.1.18 Returned 200 in 1 ms
 HTTP  11/30/2025 9:21:21 PM 192.168.1.18 GET /login
 HTTP  11/30/2025 9:21:21 PM 192.168.1.18 Returned 200 in 0 ms
 HTTP  11/30/2025 9:21:23 PM 192.168.1.18 GET /auth/callback?code=OfzPinNbTcnM4z9AL2SEx5UhrUygbpy5N4gvQJNrO6c&state=6kkps9
 HTTP  11/30/2025 9:21:23 PM 192.168.1.18 Returned 200 in 1 ms
 HTTP  11/30/2025 9:22:00 PM 192.168.1.18 GET /admin
 HTTP  11/30/2025 9:22:00 PM 192.168.1.18 Returned 200 in 1 ms
 HTTP  11/30/2025 9:23:03 PM 192.168.1.18 GET /admin/users
 HTTP  11/30/2025 9:23:03 PM 192.168.1.18 Returned 200 in 1 ms
 HTTP  11/30/2025 9:26:57 PM 192.168.1.18 GET /admin/sites
 HTTP  11/30/2025 9:26:57 PM 192.168.1.18 Returned 200 in 1 ms
 HTTP  11/30/2025 9:29:41 PM 192.168.1.18 GET /admin/sites
 HTTP  11/30/2025 9:29:41 PM 192.168.1.18 Returned 200 in 0 ms
 HTTP  11/30/2025 9:29:47 PM 192.168.1.18 GET /auth/callback?code=V84k0jOV0lWFXmTxELdlAvtRlG0Sjv90vyiePi_DREs&state=3gfp3
 HTTP  11/30/2025 9:29:47 PM 192.168.1.18 Returned 200 in 1 ms
 HTTP  11/30/2025 9:30:19 PM 192.168.1.18 GET /
 HTTP  11/30/2025 9:30:19 PM 192.168.1.18 Returned 200 in 1 ms
 HTTP  11/30/2025 9:30:21 PM 192.168.1.18 GET /auth/callback?code=v2fP-Zln0IkK0vW7MDg5sNcXegwxzJLFE6KhTccDvRw&state=828vrk
 HTTP  11/30/2025 9:30:21 PM 192.168.1.18 Returned 200 in 1 ms
 HTTP  11/30/2025 9:31:27 PM 192.168.1.18 GET /admin/sites
 HTTP  11/30/2025 9:31:27 PM 192.168.1.18 Returned 200 in 1 ms
 HTTP  11/30/2025 9:32:17 PM 192.168.1.18 GET /
 HTTP  11/30/2025 9:32:17 PM 192.168.1.18 Returned 200 in 0 ms
 HTTP  11/30/2025 9:32:47 PM 192.168.1.18 GET /sites/thesimulation/preferences
 HTTP  11/30/2025 9:32:47 PM 192.168.1.18 Returned 200 in 1 ms
 HTTP  11/30/2025 9:34:52 PM 192.168.1.18 GET /sites/thesimulation/preferences
 HTTP  11/30/2025 9:34:52 PM 192.168.1.18 Returned 200 in 1 ms
 HTTP  11/30/2025 9:34:52 PM 192.168.1.18 GET /assets/index-QfuFTUcq.js
 HTTP  11/30/2025 9:34:52 PM 192.168.1.18 Returned 200 in 1 ms
 HTTP  11/30/2025 9:57:30 PM 192.168.1.18 GET /sites/thesimulation/preferences
 HTTP  11/30/2025 9:57:30 PM 192.168.1.18 Returned 200 in 1 ms
 HTTP  11/30/2025 10:48:17 PM 192.168.1.18 GET /sites/thesimulation/preferences
 HTTP  11/30/2025 10:48:17 PM 192.168.1.18 Returned 200 in 1 ms
 HTTP  11/30/2025 10:48:19 PM 192.168.1.18 GET /auth/callback?code=VZ0IkocHyiei8iOsFolClMXL6ymfeVo3__HWbtTYsAI&state=fqw8g
 HTTP  11/30/2025 10:48:19 PM 192.168.1.18 Returned 200 in 0 ms
 HTTP  11/30/2025 11:03:27 PM 192.168.1.18 GET /sites/thesimulation/preferences
 HTTP  11/30/2025 11:03:27 PM 192.168.1.18 Returned 200 in 0 ms
 HTTP  11/30/2025 11:03:27 PM 192.168.1.18 GET /vite.svg
 HTTP  11/30/2025 11:03:27 PM 192.168.1.18 Returned 304 in 1 ms
 HTTP  11/30/2025 11:03:47 PM 192.168.1.18 GET /sites/thesimulation/preferences
 HTTP  11/30/2025 11:03:47 PM 192.168.1.18 Returned 200 in 1 ms
 HTTP  11/30/2025 11:03:53 PM 192.168.1.18 GET /auth/callback?code=D_w3B-92GhfP0zB3Kql_R8tugnEJtXR-3J5IUzjgaYo&state=y5x2us
 HTTP  11/30/2025 11:03:53 PM 192.168.1.18 Returned 200 in 1 ms
 HTTP  11/30/2025 11:04:43 PM 192.168.1.18 GET /auth/discord/callback?code=wjdoGLC4IdpnUJ6638VK9aw2A1acnE
 HTTP  11/30/2025 11:04:43 PM 192.168.1.18 Returned 200 in 1 ms
 HTTP  11/30/2025 11:05:25 PM 192.168.1.18 GET /preferences
 HTTP  11/30/2025 11:05:25 PM 192.168.1.18 Returned 200 in 1 ms
 HTTP  11/30/2025 11:05:26 PM 192.168.1.18 GET /auth/callback?code=V9a2qry7ujRZHU7KqDsg8HqFDLa5m0WdABt-Q5WYoIw&state=lvunb9
 HTTP  11/30/2025 11:05:26 PM 192.168.1.18 Returned 200 in 0 ms
 HTTP  11/30/2025 11:07:31 PM 192.168.1.18 GET /sw.js
 HTTP  11/30/2025 11:07:31 PM 192.168.1.18 Returned 304 in 1 ms
 HTTP  11/30/2025 11:07:34 PM 192.168.1.18 GET /icon-192x192.png
 HTTP  11/30/2025 11:07:34 PM 192.168.1.18 Returned 200 in 1 ms
 HTTP  11/30/2025 11:07:34 PM 192.168.1.18 GET /badge-96x96.png
 HTTP  11/30/2025 11:07:34 PM 192.168.1.18 Returned 200 in 1 ms
 HTTP  11/30/2025 11:09:24 PM 192.168.1.18 GET /sites/thesimulation/preferences
 HTTP  11/30/2025 11:09:24 PM 192.168.1.18 Returned 200 in 1 ms
 HTTP  11/30/2025 11:09:37 PM 192.168.1.18 GET /sites/thesimulation/preferences
 HTTP  11/30/2025 11:09:37 PM 192.168.1.18 Returned 200 in 1 ms
 HTTP  11/30/2025 11:16:47 PM 192.168.1.18 GET /
 HTTP  11/30/2025 11:16:47 PM 192.168.1.18 Returned 200 in 0 ms
 HTTP  11/30/2025 11:18:09 PM 192.168.1.18 GET /
 HTTP  11/30/2025 11:18:09 PM 192.168.1.18 Returned 200 in 0 ms
 HTTP  11/30/2025 11:20:31 PM 192.168.1.18 GET /
 HTTP  11/30/2025 11:20:31 PM 192.168.1.18 Returned 200 in 1 ms
 HTTP  11/30/2025 11:24:36 PM 192.168.1.18 GET /
 HTTP  11/30/2025 11:24:36 PM 192.168.1.18 Returned 200 in 1 ms
